# Chataigne 简体中文 / English translation table
# Format: 中文<TAB>English
# Keep English source text stable; user-created names and project data are not part of this file.
文件	File
编辑	Edit
时间线	Timeline
视图	View
指南	Guides
帮助	Help
模块	Modules
自定义变量	Custom Variables
状态机	State Machine
状态	States
仪表板	Dashboard
模块路由	Module Router
变形器	Morpher
序列	Sequences
序列编辑器	Sequence Editor
检查器	Inspector
日志	Logger
警告	Warnings
大纲	Outliner
回放器	Parrots
回放器	Parrot
侦测器	The Detective
命令模板	Command Templates
时间	Time
来源	Source
内容	Content
清除	Clear
全部复制	Copy All
自动滚动	Auto Scroll
新建	New
打开…	Open...
打开上次文档	Open Last Document
保存	Save
另存为…	Save As...
保存副本	Save Copy
打开最近文件	Open recent file
项目设置…	Project Settings...
偏好设置	Preferences
清除偏好设置	Clear Preferences
检查更新	Check for updates
退出	Quit
撤销	Undo
重做	Redo
设置	Set
值	value
复制	Copy
剪切	Cut
粘贴	Paste
创建副本	Duplicate
删除	Delete
全选	Select all
选择上一个项目	Select Previous Item
选择下一个项目	Select Next Item
移到上一个	Move to previous
移到下一个	Move to next
切换全屏	Toggle Fullscreen
切换仪表板编辑模式	Toggle Dashboard Edit Mode
更新仪表板文件	Update Dashboard Files
关于…	About...
关于	About
欢迎	Welcome
显示欢迎界面…	Show Welcome Screen...
退出	Exit
打开网站	Go to website
打开 Discord	Go to Discord
打开帮助文档	Go to the Amazing Documentation
查看更新日志	See the changelog
提交 GitHub 问题	Post an issue on github
社区模块管理器	Community Modules Manager
重新加载自定义模块	Reload Custom Modules
退出当前指南	Exit current guide
导出所选内容	Export Selection
导入…	Import...
布局	Layout
保存当前布局	Save Current layout
加载默认布局	Load Default Layout
加载布局…	Load Layout...
锁定面板	Lock Panels
添加并链接到自定义变量…	Add & Link to Custom Variable...
添加并链接到序列…	Add & Link to Sequence...
创建新映射	Create new Mapping
只读	Read Only
启用	Enabled
复制 OSC 控制地址	Copy OSC Control Address
复制脚本控制地址	Copy Script Control Address
复制启用状态 OSC 地址	Copy Enable OSC Control Address
使用侦测器监视	Watch this with The Detective
新建回放器	Create new Parrot
设置到回放器	Set in Parrot
新建仪表板	Create new Dashboard
发送到仪表板	Send to Dashboard
重置值	Reset value
显示编辑窗口	Show Edit Window
复制值	Copy Value
粘贴值	Paste Value
设置选项…	Set Options...
设置范围	Set the range
为此参数设置新范围	Set a new range for this parameter
确定	OK
取消	Cancel
